"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
172, 8.290500044819999e-01, 2.236196298315981e-02, 9.894334496298204e+04, -9.646287065803805e-02, 5.894079986715175e-01
173, 8.407700061800000e-01, 2.097463226217677e-02, 9.922536711166320e+04, -8.504028190018177e-02, 5.858762388639844e-01
174, 8.521599769590000e-01, 1.960709133914372e-02, 9.951651648564616e+04, -7.324801813059237e-02, 5.822809839067641e-01
175, 8.631799817090000e-01, 1.826569132102762e-02, 9.981246157399211e+04, -6.126151616650387e-02, 5.784767496538877e-01
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.001193102091436e+05, -4.883339381286873e-02, 5.744925313131799e-01
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.004341165114827e+05, -3.608296641978112e-02, 5.702401214753052e-01
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.007599676175981e+05, -2.288519738336156e-02, 5.657289360441818e-01
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.010962008883734e+05, -9.266925213127598e-03, 5.609154732558959e-01
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.014441451660459e+05, 4.825671460887276e-03, 5.557628384791886e-01
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.018046196381360e+05, 1.942577174253395e-02, 5.502670521110666e-01
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.021781074748788e+05, 3.455294521144170e-02, 5.443927358709768e-01
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.025657030487291e+05, 5.025151663628159e-02, 5.381232756304963e-01
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.029682439384097e+05, 6.655541000971089e-02, 5.314616843179221e-01
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.033856924566453e+05, 8.346309890464235e-02, 5.243248723679000e-01
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.038203862973349e+05, 1.010692656578198e-01, 5.168355811696733e-01
187, 9.645400047300000e-01, 5.038225493362627e-03, 1.042669274725745e+05, 1.191552785190979e-01, 5.087967544274425e-01
188, 9.701499938960000e-01, 4.256268552403566e-03, 1.047340297513608e+05, 1.380740665057274e-01, 5.004913216655238e-01
189, 9.752799868580000e-01, 3.536324145770189e-03, 1.052285394787645e+05, 1.581029233856130e-01, 4.916311916603551e-01
190, 9.799500107769999e-01, 2.876826092032643e-03, 1.057363601542416e+05, 1.786709063111968e-01, 4.824431746925551e-01
191, 9.841300249100000e-01, 2.283176811071472e-03, 1.062760796453715e+05, 2.005308695112717e-01, 4.726877591869320e-01
192, 9.878399968150000e-01, 1.753609743384430e-03, 1.068593826224012e+05, 2.241560707906800e-01, 4.621358289656479e-01
193, 9.910500049590000e-01, 1.293363843462116e-03, 1.074933542068700e+05, 2.498334749499560e-01, 4.508081281755744e-01
194, 9.937800168990000e-01, 9.004365425509819e-04, 1.081791610212528e+05, 2.776103330607934e-01, 4.381123400696102e-01
195, 9.960200190539999e-01, 5.769983605901485e-04, 1.089636471210034e+05, 3.093839442669011e-01, 4.239928463012665e-01
196, 9.977599978450000e-01, 3.251111630156300e-04, 1.098429917034651e+05, 3.449995566891148e-01, 4.074517480557070e-01
197, 9.990000128750000e-01, 1.452537504052920e-04, 1.109387009200530e+05, 3.893784674867434e-01, 3.871849066756329e-01
198, 9.997500181200000e-01, 3.632896519016437e-05, 1.121545818891754e+05, 4.386246290160277e-01, 3.634015850261481e-01
